CharacterID,CharacterName,Description
1,Elmer Poulglais,Elmer Poulglais is a reckless ranger who keeps breaking the rules.
2,Jeffrey Sabie,Jeffrey Sabie is a enigmatic mage who searches for a lost sibling.
3,Laverna Kornilyev,Laverna Kornilyev is a ruthless healer who owes a debt to a powerful clan.
4,Alisha Arthey,Alisha Arthey is a loyal guardian who owes a debt to a powerful clan.
5,Hannis Gleder,Hannis Gleder is a charismatic captain who keeps breaking the rules.
6,Domini Maling,Domini Maling is a reckless warrior who works as a double agent.
7,Pearla Ardy,Pearla Ardy is a cunning healer who works as a double agent.
8,Caryl Eagle,Caryl Eagle is a fearless warrior who fights against corruption in the kingdom.
9,Jessalin Duham,Jessalin Duham is a mysterious spy who leads a rebel group in the shadows.
10,Angele Doni,Angele Doni is a brilliant strategist who searches for a lost sibling.
11,Mariquilla Blakeney,Mariquilla Blakeney is a quiet assassin who fights against corruption in the kingdom.
12,Alvy Deverson,Alvy Deverson is a ruthless captain who hides a dangerous secret.
13,Fitz Dummett,Fitz Dummett is a brilliant strategist who leads a rebel group in the shadows.
14,Adria Sabie,Adria Sabie is a wise ranger who works as a double agent.
15,Helga Mugridge,Helga Mugridge is a reckless strategist who is haunted by old memories.
16,Bucky Perdue,Bucky Perdue is a reckless strategist who hides a dangerous secret.
17,Donetta Maling,Donetta Maling is a cold-blooded assassin who protects a forgotten city.
18,Krissy Shippam,Krissy Shippam is a fearless ranger who guards an ancient artifact.
19,Terra Bramble,Terra Bramble is a ruthless agent who tries to keep the team together.
20,Lezlie Lea,Lezlie Lea is a cunning hunter who leads a rebel group in the shadows.
21,Felic McNickle,Felic McNickle is a ruthless captain who protects a forgotten city.
22,Elmer Gainsbury,Elmer Gainsbury is a pragmatic spy who leads a rebel group in the shadows.
23,Kirbie Nise,Kirbie Nise is a cunning captain who leads a rebel group in the shadows.
24,Bard Keelan,Bard Keelan is a pragmatic mage who works as a double agent.
25,Aurel Jewers,Aurel Jewers is a idealistic agent who owes a debt to a powerful clan.
26,Nert Woolcocks,Nert Woolcocks is a wise mage who hunts ancient relics.
27,Emlyn Ranby,Emlyn Ranby is a enigmatic mage who keeps breaking the rules.
28,Jaclin Gaymer,Jaclin Gaymer is a quiet assassin who seeks redemption for past mistakes.
29,Jeffrey Ollander,Jeffrey Ollander is a cunning scout who hides a dangerous secret.
30,Cassian Bramble,Cassian Bramble is a ruthless ranger who hides a dangerous secret.
31,Cos Stranieri,Cos Stranieri is a mysterious scholar who owes a debt to a powerful clan.
32,Jamima Lanney,Jamima Lanney is a cold-blooded hunter who leads a rebel group in the shadows.
33,Nicky Wedgbrow,Nicky Wedgbrow is a charismatic scout who leads a rebel group in the shadows.
